17:12:47.996882 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2122428:2122584, ack 1081, win 592, length 156
17:12:48.010079 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2154720:2154876, ack 1081, win 592, length 156
17:12:48.010137 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2154876:2155032, ack 1081, win 592, length 156
17:12:48.010199 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2155032:2155188, ack 1081, win 592, length 156
17:12:48.010260 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2155188:2155344, ack 1081, win 592, length 156
17:12:48.010316 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2155344:2155500, ack 1081, win 592, length 156
17:12:48.010381 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2155500:2155656, ack 1081, win 592, length 156
17:12:48.010447 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2155656:2155812, ack 1081, win 592, length 156
17:12:48.010507 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2155812:2155968, ack 1081, win 592, length 156
17:12:48.010563 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2155968:2156124, ack 1081, win 592, length 156
17:12:48.010634 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2156124:2156280, ack 1081, win 592, length 156
17:12:48.010692 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2156280:2156436, ack 1081, win 592, length 156
17:12:48.010752 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2156436:2156592, ack 1081, win 592, length 156
17:12:48.010809 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2156592:2156748, ack 1081, win 592, length 156
17:12:48.010881 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2156748:2156904, ack 1081, win 592, length 156
17:12:48.010943 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2156904:2157060, ack 1081, win 592, length 156
17:12:48.011000 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2157060:2157216, ack 1081, win 592, length 156
17:12:48.011080 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2157216:2157372, ack 1081, win 592, length 156
17:12:48.011145 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2157372:2157528, ack 1081, win 592, length 156
17:12:48.011223 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2157528:2157684, ack 1081, win 592, length 156
17:12:48.011288 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2157684:2157840, ack 1081, win 592, length 156
17:12:48.011347 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2157840:2157996, ack 1081, win 592, length 156
17:12:48.011403 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2157996:2158152, ack 1081, win 592, length 156
17:12:48.011469 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2158152:2158308, ack 1081, win 592, length 156
17:12:48.011532 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2158308:2158464, ack 1081, win 592, length 156
17:12:48.011594 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2158464:2158620, ack 1081, win 592, length 156
17:12:48.011656 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2158620:2158776, ack 1081, win 592, length 156
17:12:48.011719 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2158776:2158932, ack 1081, win 592, length 156
17:12:48.011782 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2158932:2159088, ack 1081, win 592, length 156
17:12:48.011840 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2159088:2159244, ack 1081, win 592, length 156
17:12:48.011905 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2159244:2159400, ack 1081, win 592, length 156
17:12:48.011974 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2159400:2159556, ack 1081, win 592, length 156
17:12:48.012035 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2159556:2159712, ack 1081, win 592, length 156
17:12:48.012096 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2159712:2159868, ack 1081, win 592, length 156
17:12:48.012158 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2159868:2160024, ack 1081, win 592, length 156
17:12:48.012215 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2160024:2160180, ack 1081, win 592, length 156
17:12:48.012273 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2160180:2160336, ack 1081, win 592, length 156
17:12:48.012327 IP 72.141.83.5.49919 > 167.99.182.113.22: Flags [.], ack 2031636, win 12376, length 0
17:12:48.012327 IP 72.141.83.5.49919 > 167.99.182.113.22: Flags [P.], seq 1081:1117, ack 2031636, win 12376, length 36
17:12:48.012327 IP 72.141.83.5.49919 > 167.99.182.113.22: Flags [.], ack 2126952, win 12267, length 0
17:12:48.012327 IP 72.141.83.5.49919 > 167.99.182.113.22: Flags [.], ack 2127732, win 12264, length 0
17:12:48.012671 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2160336:2160492, ack 1117, win 592, length 156
17:12:48.012786 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2160492:2161080, ack 1117, win 592, length 588
17:12:48.012846 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2161080:2161236, ack 1117, win 592, length 156
17:12:48.012901 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2161236:2161392, ack 1117, win 592, length 156
17:12:48.012958 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2161392:2161548, ack 1117, win 592, length 156
17:12:48.013014 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2161548:2161704, ack 1117, win 592, length 156
17:12:48.013069 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2161704:2161860, ack 1117, win 592, length 156
17:12:48.013125 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2161860:2162016, ack 1117, win 592, length 156
17:12:48.013181 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2162016:2162172, ack 1117, win 592, length 156
17:12:48.013247 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2162172:2162328, ack 1117, win 592, length 156
17:12:48.013306 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2162328:2162484, ack 1117, win 592, length 156
17:12:48.013389 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2162484:2162640, ack 1117, win 592, length 156
17:12:48.013450 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2162640:2162796, ack 1117, win 592, length 156
17:12:48.013509 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2162796:2162952, ack 1117, win 592, length 156
17:12:48.013565 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2162952:2163108, ack 1117, win 592, length 156
17:12:48.013637 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2163108:2163264, ack 1117, win 592, length 156
17:12:48.013698 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2163264:2163420, ack 1117, win 592, length 156
17:12:48.013756 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2163420:2163576, ack 1117, win 592, length 156
17:12:48.013819 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2163576:2163732, ack 1117, win 592, length 156
17:12:48.013875 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2163732:2163888, ack 1117, win 592, length 156
17:12:48.013930 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2163888:2164044, ack 1117, win 592, length 156
17:12:48.013985 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2164044:2164200, ack 1117, win 592, length 156
17:12:48.014040 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2164200:2164356, ack 1117, win 592, length 156
17:12:48.014096 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2164356:2164512, ack 1117, win 592, length 156
17:12:48.014159 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2164512:2164668, ack 1117, win 592, length 156
17:12:48.014216 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2164668:2164824, ack 1117, win 592, length 156
17:12:48.014272 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2164824:2164980, ack 1117, win 592, length 156
17:12:48.014333 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2164980:2165136, ack 1117, win 592, length 156
17:12:48.014393 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2165136:2165292, ack 1117, win 592, length 156
17:12:48.014472 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2165292:2165448, ack 1117, win 592, length 156
17:12:48.014533 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2165448:2165604, ack 1117, win 592, length 156
17:12:48.014589 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2165604:2165760, ack 1117, win 592, length 156
17:12:48.014669 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2165760:2165916, ack 1117, win 592, length 156
17:12:48.014740 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2165916:2166072, ack 1117, win 592, length 156
17:12:48.014796 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2166072:2166228, ack 1117, win 592, length 156
17:12:48.014852 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2166228:2166384, ack 1117, win 592, length 156
17:12:48.014907 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2166384:2166540, ack 1117, win 592, length 156
17:12:48.014962 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2166540:2166696, ack 1117, win 592, length 156
17:12:48.015018 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2166696:2166852, ack 1117, win 592, length 156
17:12:48.015086 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2166852:2167008, ack 1117, win 592, length 156
17:12:48.015148 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2167008:2167164, ack 1117, win 592, length 156
17:12:48.015224 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2167164:2167320, ack 1117, win 592, length 156
17:12:48.015285 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2167320:2167476, ack 1117, win 592, length 156
17:12:48.015343 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2167476:2167632, ack 1117, win 592, length 156
17:12:48.015407 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2167632:2167788, ack 1117, win 592, length 156
17:12:48.015500 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2167788:2167944, ack 1117, win 592, length 156
17:12:48.015568 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2167944:2168100, ack 1117, win 592, length 156
17:12:48.015626 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2168100:2168256, ack 1117, win 592, length 156
17:12:48.015684 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2168256:2168412, ack 1117, win 592, length 156
17:12:48.015740 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2168412:2168568, ack 1117, win 592, length 156
17:12:48.015794 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2168568:2168724, ack 1117, win 592, length 156
17:12:48.015863 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2168724:2168880, ack 1117, win 592, length 156
17:12:48.015933 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2168880:2169036, ack 1117, win 592, length 156
17:12:48.015999 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2169036:2169192, ack 1117, win 592, length 156
17:12:48.016058 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2169192:2169348, ack 1117, win 592, length 156
17:12:48.016117 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2169348:2169504, ack 1117, win 592, length 156
17:12:48.016180 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2169504:2169660, ack 1117, win 592, length 156
17:12:48.016240 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2169660:2169816, ack 1117, win 592, length 156
17:12:48.016321 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2169816:2169972, ack 1117, win 592, length 156
17:12:48.016391 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2169972:2170128, ack 1117, win 592, length 156
17:12:48.016454 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2170128:2170284, ack 1117, win 592, length 156
17:12:48.016516 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2170284:2170440, ack 1117, win 592, length 156
17:12:48.016574 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2170440:2170596, ack 1117, win 592, length 156
17:12:48.016636 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2170596:2170752, ack 1117, win 592, length 156
17:12:48.016698 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2170752:2170908, ack 1117, win 592, length 156
17:12:48.016759 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2170908:2171064, ack 1117, win 592, length 156
17:12:48.016816 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2171064:2171220, ack 1117, win 592, length 156
17:12:48.016877 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2171220:2171376, ack 1117, win 592, length 156
17:12:48.016944 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2171376:2171532, ack 1117, win 592, length 156
17:12:48.017004 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2171532:2171688, ack 1117, win 592, length 156
17:12:48.017068 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2171688:2171844, ack 1117, win 592, length 156
17:12:48.017133 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2171844:2172000, ack 1117, win 592, length 156
17:12:48.017198 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2172000:2172156, ack 1117, win 592, length 156
17:12:48.017262 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2172156:2172312, ack 1117, win 592, length 156
17:12:48.017336 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2172312:2172468, ack 1117, win 592, length 156
17:12:48.017403 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2172468:2172624, ack 1117, win 592, length 156
17:12:48.017464 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2172624:2172780, ack 1117, win 592, length 156
17:12:48.017526 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2172780:2172936, ack 1117, win 592, length 156
17:12:48.017596 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2172936:2173092, ack 1117, win 592, length 156
17:12:48.017655 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2173092:2173248, ack 1117, win 592, length 156
17:12:48.017713 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2173248:2173404, ack 1117, win 592, length 156
17:12:48.017769 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2173404:2173560, ack 1117, win 592, length 156
17:12:48.017834 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2173560:2173716, ack 1117, win 592, length 156
17:12:48.017894 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2173716:2173872, ack 1117, win 592, length 156
17:12:48.017956 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2173872:2174028, ack 1117, win 592, length 156
17:12:48.018016 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2174028:2174184, ack 1117, win 592, length 156
17:12:48.018074 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2174184:2174340, ack 1117, win 592, length 156
17:12:48.018139 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2174340:2174496, ack 1117, win 592, length 156
17:12:48.018199 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2174496:2174652, ack 1117, win 592, length 156
17:12:48.018257 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2174652:2174808, ack 1117, win 592, length 156
17:12:48.018314 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2174808:2174964, ack 1117, win 592, length 156
17:12:48.018371 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2174964:2175120, ack 1117, win 592, length 156
17:12:48.018429 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2175120:2175276, ack 1117, win 592, length 156
17:12:48.018489 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2175276:2175432, ack 1117, win 592, length 156
17:12:48.018544 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2175432:2175588, ack 1117, win 592, length 156
17:12:48.018614 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2175588:2175744, ack 1117, win 592, length 156
17:12:48.018677 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2175744:2175900, ack 1117, win 592, length 156
17:12:48.018732 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2175900:2176056, ack 1117, win 592, length 156
17:12:48.018799 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2176056:2176212, ack 1117, win 592, length 156
17:12:48.018856 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2176212:2176368, ack 1117, win 592, length 156
17:12:48.018912 IP 167.99.182.113.22 > 72.141.83.5.49919: Flags [P.], seq 2176368:2176524, ack 1117, win 592, length 156
17:12:48.018954 IP 72.141.83.5.49919 > 167.99.182.113.22: Flags [P.], seq 1117:1153, ack 2127732, win 12264, length 36
17:12:48.018954 IP 72.141.83.5.49919 > 167.99.182.113.22: Flags [.], ack 2127732, win 12381, length 0
